STATE,YEAR,CASES_REPORTED,POPULATION,HTRS
Chhattisgarh,2021,29,29400000.0,0.09863945578231292
Goa,2021,15,1540000.0,0.974025974025974
Gujarat,2021,13,70400000.0,0.018465909090909092
Haryana,2021,37,28800000.0,0.1284722222222222
Himachal Pradesh,2021,5,7400000.0,0.06756756756756757
Jharkhand,2021,92,38900000.0,0.2365038560411311
Karnataka,2021,13,67500000.0,0.01925925925925926
Kerala,2021,201,35600000.0,0.5646067415730337
Madhya Pradesh,2021,89,85300000.0,0.10433763188745604
Maharashtra,2021,320,124700000.0,0.2566158781074579
Manipur,2021,1,3300000.0,0.030303030303030304
Meghalaya,2021,1,3200000.0,0.03125
Mizoram,2021,0,1200000.0,0.0
Nagaland,2021,0,2200000.0,0.0
Odisha,2021,136,46300000.0,0.2937365010799136
Punjab,2021,15,30100000.0,0.04983388704318937
Rajasthan,2021,100,81000000.0,0.1234567901234568
Sikkim,2021,0,670000.0,0.0
Tamil Nadu,2021,3,77300000.0,0.0038809831824062092
Telangana,2021,347,39100000.0,0.887468030690537
Tripura,2021,1,4100000.0,0.024390243902439022
Uttar Pradesh,2021,103,240000000.0,0.042916666666666665
Uttarakhand,2021,16,11200000.0,0.14285714285714285
West Bengal,2021,61,99200000.0,0.061491935483870976
Andaman and Nicobar Islands,2021,0,,
Chandigarh,2021,2,,
Dadra and Nagar Haveli and Daman and Diu,2021,0,,
Delhi UT,2021,92,,
Jammu and Kashmir,2021,4,,
Ladakh,2021,0,,
Lakshadweep,2021,0,,
Puducherry,2021,8,,
Total All-India,2021,2189,,
Andhra Pradesh,2022,163,53900000.0,0.30241187384044527
Arunachal Pradesh,2022,4,1570000.0,0.25477707006369427
Assam,2022,140,35600000.0,0.39325842696629215
Bihar,2022,260,124800000.0,0.20833333333333334
Chhattisgarh,2022,26,29400000.0,0.08843537414965986
Goa,2022,1,1540000.0,0.06493506493506493
Gujarat,2022,9,70400000.0,0.012784090909090908
Haryana,2022,13,28800000.0,0.04513888888888889
Himachal Pradesh,2022,5,7400000.0,0.06756756756756757
Jharkhand,2022,100,38900000.0,0.2570694087403599
Karnataka,2022,18,67500000.0,0.02666666666666667
Kerala,2022,135,35600000.0,0.3792134831460674
Madhya Pradesh,2022,81,85300000.0,0.09495896834701055
Maharashtra,2022,295,124700000.0,0.23656776263031276
Manipur,2022,0,3300000.0,0.0
Meghalaya,2022,2,3200000.0,0.0625
Mizoram,2022,0,1200000.0,0.0
Nagaland,2022,0,2200000.0,0.0
Odisha,2022,121,46300000.0,0.2613390928725702
Punjab,2022,21,30100000.0,0.06976744186046512
Rajasthan,2022,117,81000000.0,0.14444444444444446
Sikkim,2022,0,670000.0,0.0
Tamil Nadu,2022,1,77300000.0,0.00129366106080207
Telangana,2022,391,39100000.0,1.0
Tripura,2022,0,4100000.0,0.0
Uttar Pradesh,2022,126,240000000.0,0.0525
Uttarakhand,2022,16,11200000.0,0.14285714285714285
West Bengal,2022,67,99200000.0,0.06754032258064516
Andaman and Nicobar Islands,2022,0,,
Chandigarh,2022,1,,
Dadra and Nagar Haveli and Daman and Diu,2022,0,,
Delhi UT,2022,106,,
Jammu and Kashmir,2022,8,,
Ladakh,2022,0,,
Lakshadweep,2022,0,,
Puducherry,2022,23,,
Total All-India,2022,2250,,
